Ref,Councillor,Date received,Service area,Directorate
14869724,"Ferguson, Larry",2023-11-01,Environmental Services,Place
15106376,"Ferguson, Larry",2024-01-01,Housing Services,Place
15131004,"Ferguson, Larry",2024-01-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
15132204,"Ferguson, Larry",2024-01-01,Housing Services,Place
15371708,"Ferguson, Larry",2024-03-01,Housing Services,Place
15468880,"Ferguson, Larry",2024-04-01,Housing Services,Place
15498664,"Ferguson, Larry",2024-04-01,Housing Services,Place
15529568,"Ferguson, Larry",2024-04-01,Environmental Services,Place
15533056,"Ferguson, Larry",2024-04-01,Housing Services,Place
15534756,"Ferguson, Larry",2024-04-01,Housing Services,Place
15573188,"Ferguson, Larry",2024-04-01,Housing Services,Place
14147600,"Francis, Daniel",2023-07-01,Planning and Regulation,Place
14157698,"Francis, Daniel",2023-07-01,Parking Enforcement (Bexley and Bromley),Place
14165296,"Francis, Daniel",2023-07-01,Exchequer Services,Finance
14173560,"Francis, Daniel",2023-07-01,Environmental Services,Place
14186220,"Francis, Daniel",2023-07-01,Planning and Regulation,Place
14387964,"Francis, Daniel",2023-08-01,Environmental Services,Place
14389265,"Francis, Daniel",2023-08-01,Environmental Services,Place
14444564,"Francis, Daniel",2023-08-01,Housing Services,Place
14483852,"Francis, Daniel",2023-09-01,"Highways, Traffic and Infrastructure",Place
14499182,"Francis, Daniel",2023-09-01,"Highways, Traffic and Infrastructure",Place
14501780,"Francis, Daniel",2023-09-01,Planning and Regulation,Place
14501980,"Francis, Daniel",2023-09-01,Planning and Regulation,Place
14563444,"Francis, Daniel",2023-09-01,Leisure Parks and Open Spaces,Place
14567944,"Francis, Daniel",2023-09-01,Housing Services,Place
14580904,"Francis, Daniel",2023-09-01,"Highways, Traffic and Infrastructure",Place
14596960,"Francis, Daniel",2023-09-01,Environmental Services,Place
14599024,"Francis, Daniel",2023-09-01,Environmental Services,Place
14729540,"Francis, Daniel",2023-10-01,Housing Services,Place
14730440,"Francis, Daniel",2023-10-01,"Highways, Traffic and Infrastructure",Place
14751928,"Francis, Daniel",2023-10-01,"Highways, Traffic and Infrastructure",Place
14758128,"Francis, Daniel",2023-10-01,Leisure Parks and Open Spaces,Place
14963896,"Francis, Daniel",2023-12-01,Environmental Services,Place
14964396,"Francis, Daniel",2023-12-01,Environmental Services,Place
14964496,"Francis, Daniel",2023-12-01,Environmental Services,Place
14965197,"Francis, Daniel",2023-12-01,Environmental Services,Place
14979092,"Francis, Daniel",2023-12-01,Housing Services,Place
14983356,"Francis, Daniel",2023-12-01,Economic Skills and Development,Place
15026209,"Francis, Daniel",2023-12-01,Parking Enforcement (Bexley and Bromley),Place
15171624,"Francis, Daniel",2024-01-01,Housing Services,Place
15172724,"Francis, Daniel",2024-01-01,"Highways, Traffic and Infrastructure",Place
15186152,"Francis, Daniel",2024-01-01,"Highways, Traffic and Infrastructure",Place
15223200,"Francis, Daniel",2024-02-01,Housing Services,Place
15243285,"Francis, Daniel",2024-02-01,Housing Services,Place
15270140,"Francis, Daniel",2024-02-01,Planning and Regulation,Place
15305152,"Francis, Daniel",2024-02-01,"Highways, Traffic and Infrastructure",Place
15308280,"Francis, Daniel",2024-02-01,Planning and Regulation,Place
15382364,"Francis, Daniel",2024-03-01,Environmental Services,Place
15469184,"Francis, Daniel",2024-04-01,"Highways, Traffic and Infrastructure",Place
15475644,"Francis, Daniel",2024-04-01,Libraries and Communities,Place
15478044,"Francis, Daniel",2024-04-01,"Highways, Traffic and Infrastructure",Place
15501528,"Francis, Daniel",2024-04-01,Environmental Services,Place
15528568,"Francis, Daniel",2024-04-01,"Highways, Traffic and Infrastructure",Place
15528868,"Francis, Daniel",2024-04-01,Parking Enforcement (Bexley and Bromley),Place
15529268,"Francis, Daniel",2024-04-01,Planning and Regulation,Place
15561408,"Francis, Daniel",2024-04-01,Libraries and Communities,Place
15596796,"Francis, Daniel",2024-05-01,Leisure Parks and Open Spaces,Place
15624964,"Francis, Daniel",2024-05-01,Parking Enforcement (Bexley and Bromley),Place
15630660,"Francis, Daniel",2024-05-01,"Highways, Traffic and Infrastructure",Place
15631756,"Francis, Daniel",2024-05-01,Environmental Services,Place
15647248,"Francis, Daniel",2024-05-01,Strategic Planning,Place
15648448,"Francis, Daniel",2024-05-01,Environmental Services,Place
15655036,"Francis, Daniel",2024-05-01,Housing Services,Place
15674780,"Francis, Daniel",2024-05-01,"Highways, Traffic and Infrastructure",Place
15676080,"Francis, Daniel",2024-05-01,"Corporate HR, Organisational Learning and Development",Corporate Services
15708848,"Francis, Daniel",2024-06-01,Environmental Services,Place
15709748,"Francis, Daniel",2024-06-01,"Highways, Traffic and Infrastructure",Place
15752752,"Francis, Daniel",2024-06-01,Housing Services,Place
15774548,"Francis, Daniel",2024-06-01,Environmental Services,Place
15317846,"Francois, Mark",2024-02-01,Parking Enforcement (Bexley and Bromley),Place
14163696,"French, Louie",2023-07-01,Environmental Services,Place
14192084,"French, Louie",2023-07-01,Housing Services,Place
14216608,"French, Louie",2023-07-01,Housing Services,Place
14220008,"French, Louie",2023-07-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14221208,"French, Louie",2023-07-01,"Highways, Traffic and Infrastructure",Place
14230400,"French, Louie",2023-07-01,Housing Services,Place
14232200,"French, Louie",2023-07-01,"Highways, Traffic and Infrastructure",Place
14283544,"French, Louie",2023-07-01,Environmental Services,Place
14292308,"French, Louie",2023-07-01,Complex Care,Adult Social Care & Health
14298404,"French, Louie",2023-07-01,Environmental Services,Place
14339588,"French, Louie",2023-08-01,16+ Learning and Skills,Educational Achievement & Inclusion
14341288,"French, Louie",2023-08-01,Leisure Parks and Open Spaces,Place
14344986,"French, Louie",2023-08-01,Housing Services,Place
14346684,"French, Louie",2023-08-01,Leisure Parks and Open Spaces,Place
14371140,"French, Louie",2023-08-01,Environmental Services,Place
14419280,"French, Louie",2023-08-01,Housing Services,Place
14463424,"French, Louie",2023-09-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14477120,"French, Louie",2023-09-01,Housing Services,Place
14543120,"French, Louie",2023-09-01,Safeguarding Adults,Adult Social Care & Health
14612520,"French, Louie",2023-10-01,Leisure Parks and Open Spaces,Place
14619152,"French, Louie",2023-10-01,Planning and Regulation,Place
14664805,"French, Louie",2023-10-01,"Highways, Traffic and Infrastructure",Place
14676068,"French, Louie",2023-10-01,"Property, Assets and Facilities Management",Finance
14698990,"French, Louie",2023-10-01,Housing Services,Place
14798113,"French, Louie",2023-11-01,Housing Services,Place
14804379,"French, Louie",2023-11-01,Housing Services,Place
14805776,"French, Louie",2023-11-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14836132,"French, Louie",2023-11-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14847096,"French, Louie",2023-11-01,Planning and Regulation,Place
14848996,"French, Louie",2023-11-01,Strategic Planning,Place
14849597,"French, Louie",2023-11-01,Environmental Services,Place
14872024,"French, Louie",2023-11-01,0-25 SEND,Educational Achievement & Inclusion
14872224,"French, Louie",2023-11-01,Housing Services,Place
14881220,"French, Louie",2023-11-01,Planning and Regulation,Place
14896916,"French, Louie",2023-11-01,Parking Enforcement (Bexley and Bromley),Place
14904949,"French, Louie",2023-11-01,Housing Services,Place
14941836,"French, Louie",2023-12-01,Housing Services,Place
14962696,"French, Louie",2023-12-01,Planning and Regulation,Place
14970560,"French, Louie",2023-12-01,Housing Services,Place
14976192,"French, Louie",2023-12-01,Complex Care,Adult Social Care & Health
14980656,"French, Louie",2023-12-01,Safeguarding Adults,Adult Social Care & Health
14995652,"French, Louie",2023-12-01,Exchequer Services,Finance
15061692,"French, Louie",2024-01-01,"Highways, Traffic and Infrastructure",Place
15068624,"French, Louie",2024-01-01,Complex Care,Adult Social Care & Health
15129104,"French, Louie",2024-01-01,Parking Enforcement (Bexley and Bromley),Place
15134604,"French, Louie",2024-01-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
15149368,"French, Louie",2024-01-01,Housing Services,Place
15162496,"French, Louie",2024-01-01,Exchequer Services,Finance
15169324,"French, Louie",2024-01-01,Housing Services,Place
15216368,"French, Louie",2024-02-01,Environmental Services,Place
15247180,"French, Louie",2024-02-01,Exchequer Services,Finance
15266940,"French, Louie",2024-02-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
15314944,"French, Louie",2024-02-01,"Highways, Traffic and Infrastructure",Place
15318344,"French, Louie",2024-02-01,Safeguarding Adults,Adult Social Care & Health
15319345,"French, Louie",2024-02-01,Housing Services,Place
15335232,"French, Louie",2024-03-01,Housing Services,Place
15382896,"French, Louie",2024-03-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
15419164,"French, Louie",2024-03-01,"Highways, Traffic and Infrastructure",Place
15425024,"French, Louie",2024-03-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
15461720,"French, Louie",2024-04-01,Housing Services,Place
15469182,"French, Louie",2024-04-01,Housing Services,Place
15479444,"French, Louie",2024-04-01,Environmental Services,Place
15509186,"French, Louie",2024-04-01,Complex Care,Adult Social Care & Health
15509388,"French, Louie",2024-04-01,Leisure Parks and Open Spaces,Place
15509784,"French, Louie",2024-04-01,0-25 SEND,Educational Achievement & Inclusion
15518776,"French, Louie",2024-04-01,Housing Services,Place
15519676,"French, Louie",2024-04-01,Complex Care,Adult Social Care & Health
15537052,"French, Louie",2024-04-01,Exchequer Services,Finance
15539152,"French, Louie",2024-04-01,Housing Services,Place
15550980,"French, Louie",2024-04-01,Housing Services,Place
15566036,"French, Louie",2024-04-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
15571792,"French, Louie",2024-04-01,Housing Services,Place
15576188,"French, Louie",2024-04-01,Complex Care,Adult Social Care & Health
15576588,"French, Louie",2024-04-01,Planning and Regulation,Place
15576988,"French, Louie",2024-04-01,"Highways, Traffic and Infrastructure",Place
15599628,"French, Louie",2024-05-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
15614704,"French, Louie",2024-05-01,Housing Services,Place
15615204,"French, Louie",2024-05-01,Housing Services,Place
15622432,"French, Louie",2024-05-01,Housing Services,Place
15634156,"French, Louie",2024-05-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
15648748,"French, Louie",2024-05-01,Housing Services,Place
15665424,"French, Louie",2024-05-01,Parking Enforcement (Bexley and Bromley),Place
15681940,"French, Louie",2024-05-01,Housing Services,Place
15691296,"French, Louie",2024-05-01,0-25 SEND,Educational Achievement & Inclusion
15702252,"French, Louie",2024-05-01,Housing Services,Place
15705348,"French, Louie",2024-06-01,"Highways, Traffic and Infrastructure",Place
15715844,"French, Louie",2024-06-01,Leisure Parks and Open Spaces,Place
15726999,"French, Louie",2024-06-01,Leisure Parks and Open Spaces,Place
15729097,"French, Louie",2024-06-01,Housing Services,Place
15750656,"French, Louie",2024-06-01,Housing Services,Place
15753052,"French, Louie",2024-06-01,Housing Services,Place
15758981,"French, Louie",2024-06-01,Housing Services,Place
15763076,"French, Louie",2024-06-01,Environmental Services,Place
15795288,"French, Louie",2024-06-01,Housing Services,Place
15806440,"French, Louie",2024-06-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
15715144,"Gardiner, Barry",2024-05-01,Housing Services,Place
14753228,"Gill, Baljeet",2023-10-01,Housing Services,Place
15278136,"Gill, Baljeet",2024-02-01,Environmental Services,Place
14154864,"Gower MBE, Sue",2023-07-01,Environmental Services,Place
14313332,"Gower MBE, Sue",2023-08-01,Planning and Regulation,Place
14402492,"Gower MBE, Sue",2023-08-01,"Highways, Traffic and Infrastructure",Place
14475320,"Gower MBE, Sue",2023-09-01,Libraries and Communities,Place
14493716,"Gower MBE, Sue",2023-09-01,Leisure Parks and Open Spaces,Place
14497880,"Gower MBE, Sue",2023-09-01,Leisure Parks and Open Spaces,Place
14499380,"Gower MBE, Sue",2023-09-01,Environmental Services,Place
14572372,"Gower MBE, Sue",2023-09-01,Environmental Services,Place
14596760,"Gower MBE, Sue",2023-09-01,Environmental Services,Place
14627684,"Gower MBE, Sue",2023-10-01,Planning and Regulation,Place
14697888,"Gower MBE, Sue",2023-10-01,Environmental Services,Place
14726576,"Gower MBE, Sue",2023-10-01,"Highways, Traffic and Infrastructure",Place
14807877,"Gower MBE, Sue",2023-10-01,Housing Services,Place
14946968,"Gower MBE, Sue",2023-12-01,Housing Services,Place
15077416,"Gower MBE, Sue",2024-01-01,Leisure Parks and Open Spaces,Place
15394816,"Gower MBE, Sue",2024-03-01,Planning and Regulation,Place
15575088,"Gower MBE, Sue",2024-04-01,Planning and Regulation,Place
15681840,"Gower MBE, Sue",2024-05-01,Leisure Parks and Open Spaces,Place
15694760,"Gower MBE, Sue",2024-05-01,Housing Services,Place
15695392,"Gower MBE, Sue",2024-05-01,"Highways, Traffic and Infrastructure",Place
15747464,"Gower MBE, Sue",2024-06-01,Environmental Services,Place
15765172,"Gower MBE, Sue",2024-06-01,"Highways, Traffic and Infrastructure",Place
14201816,"Grant, Helen",2023-07-01,Planning and Regulation,Place
14269484,"Hall, Steven",2023-07-01,Environmental Services,Place
14310733,"Hall, Steven",2023-07-01,Leisure Parks and Open Spaces,Place
14410720,"Hall, Steven",2023-08-01,"Highways, Traffic and Infrastructure",Place
14556280,"Hall, Steven",2023-09-01,Environmental Services,Place
14556681,"Hall, Steven",2023-09-01,Housing Services,Place
14557180,"Hall, Steven",2023-09-01,"Highways, Traffic and Infrastructure",Place
14557580,"Hall, Steven",2023-09-01,Environmental Services,Place
14561344,"Hall, Steven",2023-09-01,Planning and Regulation,Place
14576173,"Hall, Steven",2023-09-01,Housing Services,Place
14596260,"Hall, Steven",2023-09-01,Environmental Services,Place
14609721,"Hall, Steven",2023-10-01,Committee Services and Scrutiny,Legal & Democratic Services
14652676,"Hall, Steven",2023-10-01,Housing Services,Place
14664504,"Hall, Steven",2023-10-01,Environmental Services,Place
14768360,"Hall, Steven",2023-10-01,Parking Enforcement (Bexley and Bromley),Place
14895816,"Hall, Steven",2023-11-01,Exchequer Services,Finance
14905448,"Hall, Steven",2023-11-01,Housing Services,Place
15017612,"Hall, Steven",2023-12-01,Housing Services,Place
15025308,"Hall, Steven",2023-12-01,Housing Services,Place
15031104,"Hall, Steven",2024-01-01,Planning and Regulation,Place
15193848,"Hall, Steven",2024-02-01,Environmental Services,Place
15537652,"Heaton-harris, Chris",2024-04-01,"Strategic Education Partnership, Improvement & Inclusion",Educational Achievement & Inclusion
14192284,"Hinkley, Sally",2023-07-01,Housing Services,Place
14291208,"Hinkley, Sally",2023-07-01,Environmental Services,Place
14312932,"Hinkley, Sally",2023-07-01,Environmental Services,Place
14314333,"Hinkley, Sally",2023-07-01,Environmental Services,Place
14326296,"Hinkley, Sally",2023-08-01,Planning and Regulation,Place
14340888,"Hinkley, Sally",2023-08-01,Parking Enforcement (Bexley and Bromley),Place
14419780,"Hinkley, Sally",2023-08-01,Housing Services,Place
14519500,"Hinkley, Sally",2023-09-01,Exchequer Services,Finance
14609020,"Hinkley, Sally",2023-10-01,Environmental Services,Place
14715148,"Hinkley, Sally",2023-10-01,Environmental Services,Place
14945568,"Hinkley, Sally",2023-12-01,Planning and Regulation,Place
14983756,"Hinkley, Sally",2023-12-01,Environmental Services,Place
15043668,"Hinkley, Sally",2024-01-01,"Highways, Traffic and Infrastructure",Place
15125672,"Hinkley, Sally",2024-01-01,Housing Services,Place
15177788,"Hinkley, Sally",2024-01-01,Exchequer Services,Finance
15235189,"Hinkley, Sally",2024-02-01,Leisure Parks and Open Spaces,Place
15236288,"Hinkley, Sally",2024-02-01,Housing Services,Place
15239488,"Hinkley, Sally",2024-02-01,"Property, Assets and Facilities Management",Finance
15267940,"Hinkley, Sally",2024-02-01,"Highways, Traffic and Infrastructure",Place
15371108,"Hinkley, Sally",2024-03-01,"Property, Assets and Facilities Management",Finance
15372508,"Hinkley, Sally",2024-03-01,"Highways, Traffic and Infrastructure",Place
15688564,"Hinkley, Sally",2024-05-01,Environmental Services,Place
15782968,"Hinkley, Sally",2024-06-01,Housing Services,Place
15805640,"Hinkley, Sally",2024-06-01,Planning and Regulation,Place
14240164,"Holding, Angela",2023-07-01,"Highways, Traffic and Infrastructure",Place
14675669,"Holding, Angela",2023-10-01,Environmental Services,Place
14964196,"Holding, Angela",2023-12-01,Environmental Services,Place
15048364,"Holding, Angela",2024-01-01,Exchequer Services,Finance
15160396,"Holding, Angela",2024-01-01,Planning and Regulation,Place
15193748,"Holding, Angela",2024-02-01,Environmental Services,Place
15215868,"Holding, Angela",2024-02-01,Housing Services,Place
15249280,"Holding, Angela",2024-02-01,Environmental Services,Place
15324936,"Holding, Angela",2024-03-01,Housing Services,Place
14213812,"Holloway, Adam",2023-07-01,Housing Services,Place
14600524,"Holloway, Adam",2023-09-01,Complex Care,Adult Social Care & Health
14196784,"Hunt, James",2023-07-01,"Highways, Traffic and Infrastructure",Place
14457560,"Hunt, James",2023-08-01,Environmental Services,Place
14628084,"Hunt, James",2023-10-01,Environmental Services,Place
14734340,"Hunt, James",2023-10-01,"Highways, Traffic and Infrastructure",Place
14826268,"Hunt, James",2023-11-01,0-25 SEND,Educational Achievement & Inclusion
14896616,"Hunt, James",2023-11-01,Strategic Planning,Place
14899216,"Hunt, James",2023-11-01,Complex Care,Adult Social Care & Health
15022276,"Hunt, James",2023-12-01,Complex Care,Adult Social Care & Health
15741848,"Hunt, James",2024-06-01,Exchequer Services,Finance
14155764,"Jackson, Howard",2023-07-01,Housing Services,Place
14156264,"Jackson, Howard",2023-07-01,Housing Services,Place
14324896,"Jackson, Howard",2023-08-01,Housing Services,Place
14371940,"Jackson, Howard",2023-08-01,Complex Care,Adult Social Care & Health
14441136,"Jackson, Howard",2023-08-01,Planning and Regulation,Place
14454660,"Jackson, Howard",2023-08-01,"Highways, Traffic and Infrastructure",Place
14698588,"Jackson, Howard",2023-10-01,Environmental Services,Place
14744132,"Jackson, Howard",2023-10-01,"Highways, Traffic and Infrastructure",Place
14771992,"Jackson, Howard",2023-10-01,"Highways, Traffic and Infrastructure",Place
14798712,"Jackson, Howard",2023-11-01,Housing Services,Place
14936004,"Jackson, Howard",2023-12-01,"Highways, Traffic and Infrastructure",Place
15176288,"Jackson, Howard",2024-01-01,Housing Services,Place
15201444,"Jackson, Howard",2024-02-01,Housing Services,Place
15497064,"Jackson, Howard",2024-04-01,"Highways, Traffic and Infrastructure",Place
15649048,"Jackson, Howard",2024-05-01,Environmental Services,Place
15691298,"Jackson, Howard",2024-05-01,Environmental Services,Place
15806240,"Jackson, Howard",2024-06-01,Complex Care,Adult Social Care & Health
14233400,"James, Hunt",2023-07-01,"Highways, Traffic and Infrastructure",Place
14283244,"James, Hunt",2023-07-01,"Highways, Traffic and Infrastructure",Place
14313734,"James, Hunt",2023-07-01,Environmental Services,Place
14367240,"James, Hunt",2023-08-01,Environmental Services,Place
14367440,"James, Hunt",2023-08-01,"Highways, Traffic and Infrastructure",Place
14368641,"James, Hunt",2023-08-01,Planning and Regulation,Place
14385164,"James, Hunt",2023-08-01,"Highways, Traffic and Infrastructure",Place
14443464,"James, Hunt",2023-08-01,Leisure Parks and Open Spaces,Place
14461824,"James, Hunt",2023-09-01,Leisure Parks and Open Spaces,Place
14472220,"James, Hunt",2023-09-01,Leisure Parks and Open Spaces,Place
14536424,"James, Hunt",2023-09-01,Planning and Regulation,Place
14590160,"James, Hunt",2023-09-01,Housing Services,Place
14590360,"James, Hunt",2023-09-01,Parking Enforcement (Bexley and Bromley),Place
14590860,"James, Hunt",2023-09-01,"Highways, Traffic and Infrastructure",Place
14625484,"James, Hunt",2023-10-01,Leisure Parks and Open Spaces,Place
14687762,"James, Hunt",2023-10-01,Planning and Regulation,Place
14760360,"James, Hunt",2023-10-01,"Highways, Traffic and Infrastructure",Place
14764060,"James, Hunt",2023-10-01,"Highways, Traffic and Infrastructure",Place
14771193,"James, Hunt",2023-10-01,Housing Services,Place
14964697,"James, Hunt",2023-12-01,Environmental Services,Place
15059892,"James, Hunt",2024-01-01,"Highways, Traffic and Infrastructure",Place
15117308,"James, Hunt",2024-01-01,Planning and Regulation,Place
15137636,"James, Hunt",2024-01-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
15159064,"James, Hunt",2024-01-01,Planning and Regulation,Place
15171724,"James, Hunt",2024-01-01,Housing Services,Place
15206904,"James, Hunt",2024-02-01,Housing Services,Place
15341028,"James, Hunt",2024-03-01,Planning and Regulation,Place
15372108,"James, Hunt",2024-03-01,"Highways, Traffic and Infrastructure",Place
15381964,"James, Hunt",2024-03-01,Planning and Regulation,Place
15501328,"James, Hunt",2024-04-01,Parking Enforcement (Bexley and Bromley),Place
15527968,"James, Hunt",2024-04-01,Planning and Regulation,Place
15678341,"James, Hunt",2024-05-01,Housing Services,Place
15686668,"James, Hunt",2024-05-01,"Highways, Traffic and Infrastructure",Place
15719672,"James, Hunt",2024-06-01,Housing Services,Place
14234200,"Johnson MP, Gareth",2023-07-01,Housing Services,Place
14370540,"Johnson MP, Gareth",2023-08-01,Housing Services,Place
14970761,"Johnson MP, Gareth",2023-12-01,Parking Enforcement (Bexley and Bromley),Place
15092712,"Johnson MP, Gareth",2024-01-01,Housing Services,Place
14153165,"Leaf, David",2023-07-01,Exchequer Services,Finance
14154564,"Leaf, David",2023-07-01,Environmental Services,Place
14155364,"Leaf, David",2023-07-01,Planning and Regulation,Place
14156864,"Leaf, David",2023-07-01,Strategic Planning,Place
14157799,"Leaf, David",2023-07-01,Planning and Regulation,Place
14164896,"Leaf, David",2023-07-01,Parking Enforcement (Bexley and Bromley),Place
14191484,"Leaf, David",2023-07-01,Exchequer Services,Finance
14204616,"Leaf, David",2023-07-01,Housing Services,Place
14234700,"Leaf, David",2023-07-01,Planning and Regulation,Place
14291008,"Leaf, David",2023-07-01,"Highways, Traffic and Infrastructure",Place
14310932,"Leaf, David",2023-08-01,Exchequer Services,Finance
14326096,"Leaf, David",2023-07-01,"Highways, Traffic and Infrastructure",Place
14343584,"Leaf, David",2023-08-01,Leisure Parks and Open Spaces,Place
14344284,"Leaf, David",2023-08-01,Environmental Services,Place
14344985,"Leaf, David",2023-08-01,Housing Services,Place
14352948,"Leaf, David",2023-08-01,Planning and Regulation,Place
14359512,"Leaf, David",2023-08-01,Parking Enforcement (Bexley and Bromley),Place
14374240,"Leaf, David",2023-08-01,Strategic Planning,Place
14380868,"Leaf, David",2023-08-01,Planning and Regulation,Place
14384264,"Leaf, David",2023-08-01,"Highways, Traffic and Infrastructure",Place
14423044,"Leaf, David",2023-08-01,Exchequer Services,Finance
14431608,"Leaf, David",2023-08-01,Environmental Services,Place
14431609,"Leaf, David",2023-08-01,"Highways, Traffic and Infrastructure",Place
14435136,"Leaf, David",2023-08-01,Environmental Services,Place
14446765,"Leaf, David",2023-08-01,Environmental Services,Place
14476320,"Leaf, David",2023-09-01,Housing Services,Place
14495280,"Leaf, David",2023-09-01,"Highways, Traffic and Infrastructure",Place
14507176,"Leaf, David",2023-09-01,Housing Services,Place
14517568,"Leaf, David",2023-09-01,Environmental Services,Place
14526333,"Leaf, David",2023-09-01,Environmental Services,Place
14531428,"Leaf, David",2023-09-01,Leisure Parks and Open Spaces,Place
14564044,"Leaf, David",2023-09-01,Housing Services,Place
14604324,"Leaf, David",2023-09-01,Environmental Services,Place
14611320,"Leaf, David",2023-10-01,0-25 SEND,Educational Achievement & Inclusion
14624884,"Leaf, David",2023-10-01,Planning and Regulation,Place
14657340,"Leaf, David",2023-10-01,Environmental Services,Place
14665604,"Leaf, David",2023-10-01,Exchequer Services,Finance
14692124,"Leaf, David",2023-10-01,Exchequer Services,Finance
14714848,"Leaf, David",2023-10-01,Environmental Services,Place
14756028,"Leaf, David",2023-10-01,Risk and Assurance,Finance
14759062,"Leaf, David",2023-10-01,Planning and Regulation,Place
14759260,"Leaf, David",2023-10-01,Parking Enforcement (Bexley and Bromley),Place
14770692,"Leaf, David",2023-10-01,Environmental Services,Place
14784516,"Leaf, David",2023-11-01,"Property, Assets and Facilities Management",Finance
14798612,"Leaf, David",2023-11-01,Parking Enforcement (Bexley and Bromley),Place
14829500,"Leaf, David",2023-11-01,Planning and Regulation,Place
14832700,"Leaf, David",2023-11-01,Parking Enforcement (Bexley and Bromley),Place
14849697,"Leaf, David",2023-11-01,"Property, Assets and Facilities Management",Finance
14851428,"Leaf, David",2023-11-01,Housing Services,Place
14878320,"Leaf, David",2023-11-01,"Property, Assets and Facilities Management",Finance
14925108,"Leaf, David",2023-12-01,"Highways, Traffic and Infrastructure",Place
14933904,"Leaf, David",2023-12-01,Parking Enforcement (Bexley and Bromley),Place
14969460,"Leaf, David",2023-12-01,0-25 SEND,Educational Achievement & Inclusion
14996152,"Leaf, David",2023-12-01,"Highways, Traffic and Infrastructure",Place
14996352,"Leaf, David",2023-12-01,Planning and Regulation,Place
15012080,"Leaf, David",2023-12-01,"Highways, Traffic and Infrastructure",Place
15016312,"Leaf, David",2023-12-01,HR Operations,Corporate Services
15028572,"Leaf, David",2024-01-01,Environmental Services,Place
15040868,"Leaf, David",2024-01-01,"Highways, Traffic and Infrastructure",Place
15090512,"Leaf, David",2024-01-01,Leisure Parks and Open Spaces,Place
15104477,"Leaf, David",2024-01-01,"Highways, Traffic and Infrastructure",Place
15121372,"Leaf, David",2024-01-01,Environmental Services,Place
15157864,"Leaf, David",2024-01-01,Environmental Services,Place
15164496,"Leaf, David",2024-01-01,"Highways, Traffic and Infrastructure",Place
15172424,"Leaf, David",2024-01-01,Housing Services,Place
15178388,"Leaf, David",2024-01-01,Complex Care,Adult Social Care & Health
15202044,"Leaf, David",2024-02-01,Exchequer Services,Finance
15202344,"Leaf, David",2024-02-01,Planning and Regulation,Place
15232125,"Leaf, David",2024-02-01,"Highways, Traffic and Infrastructure",Place
15234688,"Leaf, David",2024-02-01,"Highways, Traffic and Infrastructure",Place
15241184,"Leaf, David",2024-02-01,Customer Services & Business Support,Corporate Services
15243684,"Leaf, David",2024-02-01,"Highways, Traffic and Infrastructure",Place
15264308,"Leaf, David",2024-02-01,"Highways, Traffic and Infrastructure",Place
15305852,"Leaf, David",2024-02-01,Libraries and Communities,Place
15306552,"Leaf, David",2024-02-01,Libraries and Communities,Place
15307252,"Leaf, David",2024-02-01,Exchequer Services,Finance
15322008,"Leaf, David",2024-03-01,Planning and Regulation,Place
15325536,"Leaf, David",2024-03-01,Exchequer Services,Finance
15336932,"Leaf, David",2024-03-01,Housing Services,Place
15358084,"Leaf, David",2024-03-01,Environmental Services,Place
15377304,"Leaf, David",2024-03-01,Environmental Services,Place
15383496,"Leaf, David",2024-03-01,Leisure Parks and Open Spaces,Place
15413568,"Leaf, David",2024-03-01,"Highways, Traffic and Infrastructure",Place
15467380,"Leaf, David",2024-04-01,Exchequer Services,Finance
15468981,"Leaf, David",2024-04-01,Environmental Services,Place
15491800,"Leaf, David",2024-04-01,"Highways, Traffic and Infrastructure",Place
15555309,"Leaf, David",2024-04-01,"Highways, Traffic and Infrastructure",Place
15558708,"Leaf, David",2024-04-01,Exchequer Services,Finance
15560308,"Leaf, David",2024-04-01,Parking Enforcement (Bexley and Bromley),Place
15560908,"Leaf, David",2024-04-01,"Highways, Traffic and Infrastructure",Place
15574688,"Leaf, David",2024-04-01,Planning and Regulation,Place
15579520,"Leaf, David",2024-04-01,Risk and Assurance,Finance
15580720,"Leaf, David",2024-04-01,Environmental Services,Place
15612713,"Leaf, David",2024-05-01,Environmental Services,Place
15632056,"Leaf, David",2024-05-01,Planning and Regulation,Place
15636556,"Leaf, David",2024-05-01,Parking Enforcement (Bexley and Bromley),Place
15660132,"Leaf, David",2024-05-01,Exchequer Services,Finance
